Source,Target,Type,Id,Label,timeset,Weight
13,202,Undirected,15667,,,1
13,1766,Undirected,15688,,,1
13,2869,Undirected,15701,,,1
103,1310,Undirected,15915,,,1
103,2521,Undirected,15916,,,1
103,4280,Undirected,15917,,,1
103,4598,Undirected,15918,,,1
103,4749,Undirected,15919,,,1
103,4999,Undirected,15920,,,1
103,5122,Undirected,15921,,,1
103,5203,Undirected,15922,,,1
103,5621,Undirected,15923,,,1
103,5812,Undirected,15924,,,1
124,6070,Undirected,15992,,,1
125,5142,Undirected,16013,,,1
125,5546,Undirected,16014,,,1
125,6859,Undirected,16018,,,1
125,8217,Undirected,16019,,,1
202,3248,Undirected,16171,,,1
202,7611,Undirected,16216,,,1
234,7742,Undirected,16304,,,1
234,6614,Undirected,16310,,,1
235,4025,Undirected,16431,,,1
235,5507,Undirected,16451,,,1
235,7742,Undirected,16481,,,1
261,569,Undirected,16528,,,1
261,662,Undirected,16529,,,1
261,852,Undirected,16530,,,1
261,2340,Undirected,16531,,,1
261,4237,Undirected,16532,,,1
261,4280,Undirected,16533,,,1
261,5966,Undirected,16534,,,1
261,7313,Undirected,16535,,,1
261,7742,Undirected,16536,,,1
261,7054,Undirected,16537,,,1
268,2231,Undirected,16568,,,1
268,2257,Undirected,16569,,,1
268,4839,Undirected,16592,,,1
268,6348,Undirected,16623,,,1
268,6495,Undirected,16628,,,1
268,7710,Undirected,16649,,,1
270,2613,Undirected,16683,,,1
270,6488,Undirected,16730,,,1
270,7336,Undirected,16737,,,1
270,7710,Undirected,16740,,,1
362,4839,Undirected,16918,,,1
362,1310,Undirected,16921,,,1
362,2521,Undirected,16923,,,1
362,2678,Undirected,16924,,,1
362,4280,Undirected,16925,,,1
362,4999,Undirected,16926,,,1
427,569,Undirected,17028,,,1
427,1310,Undirected,17029,,,1
427,2521,Undirected,17031,,,1
427,4280,Undirected,17032,,,1
427,5122,Undirected,17034,,,1
427,5621,Undirected,17035,,,1
427,5812,Undirected,17036,,,1
427,5885,Undirected,17037,,,1
427,7996,Undirected,17038,,,1
566,4749,Undirected,17301,,,1
566,5563,Undirected,17302,,,1
566,5966,Undirected,17303,,,1
566,7164,Undirected,17304,,,1
569,2793,Undirected,17343,,,1
569,4280,Undirected,17344,,,1
569,4508,Undirected,17345,,,1
569,4736,Undirected,17346,,,1
576,5600,Undirected,17365,,,1
576,6451,Undirected,17366,,,1
576,6880,Undirected,17367,,,1
678,1068,Undirected,17659,,,1
678,1967,Undirected,17670,,,1
678,2043,Undirected,17672,,,1
678,3276,Undirected,17699,,,1
678,5966,Undirected,17757,,,1
678,6054,Undirected,17760,,,1
678,6347,Undirected,17765,,,1
678,2283,Undirected,17806,,,1
678,6488,Undirected,17835,,,1
735,3095,Undirected,17980,,,1
735,6614,Undirected,17998,,,1
769,5132,Undirected,18127,,,1
852,4237,Undirected,18320,,,1
860,1068,Undirected,18362,,,1
860,7996,Undirected,18369,,,1
1068,5563,Undirected,18724,,,1
1068,5966,Undirected,18725,,,1
1068,6054,Undirected,18726,,,1
1068,6882,Undirected,18727,,,1
1068,7164,Undirected,18728,,,1
1068,7313,Undirected,18729,,,1
1219,1926,Undirected,19003,,,1
1219,5225,Undirected,19024,,,1
1219,5379,Undirected,19061,,,1
1219,6578,Undirected,19062,,,1
1219,7660,Undirected,19063,,,1
1233,5225,Undirected,19098,,,1
1242,5721,Undirected,19135,,,1
1309,2793,Undirected,19408,,,1
1309,4839,Undirected,19414,,,1
1309,3998,Undirected,19424,,,1
1309,1310,Undirected,19431,,,1
1309,5221,Undirected,19432,,,1
1310,2514,Undirected,19453,,,1
1310,5221,Undirected,19496,,,1
1310,7407,Undirected,19528,,,1
1310,7996,Undirected,19535,,,1
1310,1967,Undirected,19559,,,1
1310,2521,Undirected,19568,,,1
1310,3095,Undirected,19576,,,1
1310,4839,Undirected,19610,,,1
1310,5301,Undirected,19625,,,1
1310,5546,Undirected,19631,,,1
1456,2514,Undirected,19948,,,1
1456,2521,Undirected,19961,,,1
1577,5766,Undirected,20168,,,1
1577,4280,Undirected,20175,,,1
1644,6070,Undirected,20299,,,1
1644,5507,Undirected,20306,,,1
1644,5726,Undirected,20307,,,1
1644,6451,Undirected,20308,,,1
1644,6780,Undirected,20309,,,1
1644,6783,Undirected,20310,,,1
1653,5625,Undirected,20328,,,1
1655,5546,Undirected,20377,,,1
1655,2786,Undirected,20378,,,1
1655,3998,Undirected,20379,,,1
1655,5812,Undirected,20380,,,1
1655,5885,Undirected,20381,,,1
1655,6347,Undirected,20382,,,1
1655,7944,Undirected,20383,,,1
1725,1894,Undirected,20501,,,1
1725,2240,Undirected,20502,,,1
1725,6145,Undirected,20503,,,1
1743,7164,Undirected,20631,,,1
1759,6488,Undirected,20687,,,1
1759,3930,Undirected,20711,,,1
1759,5721,Undirected,20712,,,1
1759,5885,Undirected,20713,,,1
1766,6488,Undirected,20792,,,1
1766,2869,Undirected,20796,,,1
1894,3095,Undirected,21112,,,1
1894,3176,Undirected,21113,,,1
1894,4246,Undirected,21120,,,1
1894,5721,Undirected,21138,,,1
1894,7660,Undirected,21156,,,1
1926,3095,Undirected,21245,,,1
1926,4246,Undirected,21248,,,1
1926,1967,Undirected,21262,,,1
1926,2280,Undirected,21268,,,1
1926,5225,Undirected,21269,,,1
1926,5721,Undirected,21270,,,1
1967,2402,Undirected,21337,,,1
1967,2869,Undirected,21338,,,1
1967,4471,Undirected,21339,,,1
1967,5142,Undirected,21340,,,1
1967,5221,Undirected,21341,,,1
1967,5379,Undirected,21342,,,1
1967,5812,Undirected,21343,,,1
2043,2283,Undirected,21537,,,1
2043,7510,Undirected,21615,,,1
2048,7854,Undirected,21657,,,1
2224,5142,Undirected,21954,,,1
2224,2397,Undirected,21955,,,1
2224,2793,Undirected,21956,,,1
2224,3661,Undirected,21957,,,1
2224,5885,Undirected,21958,,,1
2224,6347,Undirected,21959,,,1
2231,2238,Undirected,21977,,,1
2240,4239,Undirected,22016,,,1
2240,3461,Undirected,22061,,,1
2257,2704,Undirected,22086,,,1
2280,5378,Undirected,22231,,,1
2280,5379,Undirected,22232,,,1
2283,5378,Undirected,22319,,,1
2283,5563,Undirected,22323,,,1
2283,6488,Undirected,22341,,,1
2286,6488,Undirected,22376,,,1
2286,5378,Undirected,22386,,,1
2299,3342,Undirected,22414,,,1
2340,4628,Undirected,22570,,,1
2340,8054,Undirected,22604,,,1
2402,5178,Undirected,22845,,,1
2402,5379,Undirected,22846,,,1
2433,3998,Undirected,22932,,,1
2435,2521,Undirected,22953,,,1
2435,6859,Undirected,22954,,,1
2440,2869,Undirected,22967,,,1
2514,4839,Undirected,23076,,,1
2514,5546,Undirected,23089,,,1
2514,6183,Undirected,23090,,,1
2514,6347,Undirected,23091,,,1
2514,2521,Undirected,23094,,,1
2514,5142,Undirected,23095,,,1
2521,5301,Undirected,23163,,,1
2521,7996,Undirected,23216,,,1
2521,3427,Undirected,23230,,,1
2521,3428,Undirected,23231,,,1
2562,6145,Undirected,23353,,,1
2562,7336,Undirected,23354,,,1
2602,7839,Undirected,23469,,,1
2602,2666,Undirected,23480,,,1
2602,3581,Undirected,23496,,,1
2602,4151,Undirected,23503,,,1
2613,6449,Undirected,23602,,,1
2665,4246,Undirected,23686,,,1
2665,6488,Undirected,23702,,,1
2665,7174,Undirected,23704,,,1
2665,7201,Undirected,23706,,,1
2678,6488,Undirected,23768,,,1
2704,4470,Undirected,23836,,,1
2704,4471,Undirected,23837,,,1
2704,2869,Undirected,23844,,,1
2704,5599,Undirected,23845,,,1
2776,4471,Undirected,23941,,,1
2776,5721,Undirected,23942,,,1
2786,6348,Undirected,23983,,,1
2786,7996,Undirected,23998,,,1
2862,4151,Undirected,24253,,,1
2900,5221,Undirected,24438,,,1
2900,6783,Undirected,24439,,,1
2966,5349,Undirected,24525,,,1
2966,3427,Undirected,24526,,,1
3095,4280,Undirected,24747,,,1
3095,4470,Undirected,24748,,,1
3095,5221,Undirected,24749,,,1
3095,5389,Undirected,24750,,,1
3095,7336,Undirected,24751,,,1
3095,7660,Undirected,24752,,,1
3176,3661,Undirected,24940,,,1
3176,5584,Undirected,24941,,,1
3276,4239,Undirected,25113,,,1
3276,5221,Undirected,25131,,,1
3276,5966,Undirected,25157,,,1
3276,6882,Undirected,25174,,,1
3276,4412,Undirected,25197,,,1
3276,5546,Undirected,25211,,,1
3283,5203,Undirected,25250,,,1
3342,5178,Undirected,25325,,,1
3342,6070,Undirected,25326,,,1
3342,5142,Undirected,25333,,,1
3342,5659,Undirected,25334,,,1
3427,5221,Undirected,25436,,,1
3427,7722,Undirected,25437,,,1
3427,5546,Undirected,25465,,,1
3427,3428,Undirected,25495,,,1
3427,5162,Undirected,25524,,,1
3428,5221,Undirected,25560,,,1
3461,4412,Undirected,25620,,,1
3461,7034,Undirected,25646,,,1
3581,7611,Undirected,25806,,,1
3583,5726,Undirected,25852,,,1
3661,4839,Undirected,25957,,,1
3661,5221,Undirected,25966,,,1
3661,6348,Undirected,25981,,,1
3661,6882,Undirected,25988,,,1
3661,7996,Undirected,26003,,,1
3679,5178,Undirected,26090,,,1
3679,6859,Undirected,26094,,,1
3880,5379,Undirected,26362,,,1
3880,5741,Undirected,26363,,,1
3930,4741,Undirected,26433,,,1
3930,6097,Undirected,26454,,,1
3930,7510,Undirected,26470,,,1
4025,5507,Undirected,26606,,,1
4151,5721,Undirected,26727,,,1
4151,6451,Undirected,26728,,,1
4151,6783,Undirected,26729,,,1
4151,7839,Undirected,26730,,,1
4237,4486,Undirected,26855,,,1
4237,5202,Undirected,26866,,,1
4246,4741,Undirected,26906,,,1
4246,5584,Undirected,26907,,,1
4246,5721,Undirected,26908,,,1
4246,6146,Undirected,26909,,,1
4280,4839,Undirected,26953,,,1
4280,5766,Undirected,26971,,,1
4280,5812,Undirected,26972,,,1
4280,6070,Undirected,26980,,,1
4280,7996,Undirected,27010,,,1
4412,5389,Undirected,27239,,,1
4471,6451,Undirected,27349,,,1
4471,5301,Undirected,27378,,,1
4471,6780,Undirected,27408,,,1
4471,7026,Undirected,27420,,,1
4508,7854,Undirected,27561,,,1
4545,4736,Undirected,27625,,,1
4547,4741,Undirected,27683,,,1
4598,5301,Undirected,27746,,,1
4731,4741,Undirected,27980,,,1
4741,5378,Undirected,28007,,,1
4741,5584,Undirected,28010,,,1
4741,6097,Undirected,28021,,,1
4749,6882,Undirected,28066,,,1
4749,7407,Undirected,28072,,,1
4839,5142,Undirected,28152,,,1
4839,6347,Undirected,28153,,,1
4839,6348,Undirected,28154,,,1
4839,7996,Undirected,28155,,,1
4999,5546,Undirected,28306,,,1
5090,5221,Undirected,28435,,,1
5090,6146,Undirected,28451,,,1
5090,6348,Undirected,28454,,,1
5122,6070,Undirected,28508,,,1
5142,5546,Undirected,28539,,,1
5142,6070,Undirected,28542,,,1
5142,5178,Undirected,28564,,,1
5178,6859,Undirected,28608,,,1
5202,6054,Undirected,28633,,,1
5221,5546,Undirected,28753,,,1
5221,6882,Undirected,28769,,,1
5221,7407,Undirected,28809,,,1
5221,7996,Undirected,28813,,,1
5225,5378,Undirected,28816,,,1
5225,5721,Undirected,28823,,,1
5225,5726,Undirected,28824,,,1
5225,6097,Undirected,28829,,,1
5301,7660,Undirected,28939,,,1
5507,6451,Undirected,29238,,,1
5507,6070,Undirected,29272,,,1
5546,5812,Undirected,29304,,,1
5546,5885,Undirected,29305,,,1
5546,6347,Undirected,29306,,,1
5563,5966,Undirected,29323,,,1
5564,6859,Undirected,29348,,,1
5564,5885,Undirected,29359,,,1
5584,7510,Undirected,29396,,,1
5597,5600,Undirected,29422,,,1
5599,5600,Undirected,29423,,,1
5599,6451,Undirected,29443,,,1
5599,6882,Undirected,29449,,,1
5599,5659,Undirected,29464,,,1
5600,6070,Undirected,29488,,,1
5621,5625,Undirected,29570,,,1
5621,5812,Undirected,29572,,,1
5621,8080,Undirected,29597,,,1
5659,7313,Undirected,29623,,,1
5812,5885,Undirected,29906,,,1
5885,6070,Undirected,29950,,,1
5885,6488,Undirected,29958,,,1
5885,6859,Undirected,29961,,,1
5966,6054,Undirected,30060,,,1
6054,7510,Undirected,30131,,,1
6054,6145,Undirected,30146,,,1
6054,6488,Undirected,30150,,,1
6070,6347,Undirected,30175,,,1
6070,6859,Undirected,30176,,,1
6145,6146,Undirected,30243,,,1
6145,7742,Undirected,30270,,,1
6347,7996,Undirected,30373,,,1
6347,6882,Undirected,30377,,,1
6348,6859,Undirected,30388,,,1
6348,7407,Undirected,30389,,,1
6488,7336,Undirected,30518,,,1
6488,7510,Undirected,30519,,,1
6614,7742,Undirected,30638,,,1
6780,6783,Undirected,30690,,,1
6859,7996,Undirected,30767,,,1
6882,7164,Undirected,30793,,,1
7054,7996,Undirected,30876,,,1
7054,7643,Undirected,30884,,,1
7164,7174,Undirected,30922,,,1
7164,7710,Undirected,30930,,,1
7191,7944,Undirected,30961,,,1
7510,7696,Undirected,31087,,,1
7660,8054,Undirected,31130,,,1
