from,to
T146418,T146418
T087323,T087323
T166485,T166485
T097579,T097579
T146422,T146422
T173524,T173524
T157244,T157244
T098681,T098681
T016992,T016992
T107196,T107196
T099739,T099739
T166488,T166488
T021249,T021249
T131514,T131514
T166487,T166487
T178868,T178868
T027260,T027260
T076256,T076256
T166484,T166484
T076257,T076257
T097575,T097575
T123747,T123747
T098679,T098679
T019583,T019583
T074150,T074150
T140636,T140636
T049885,T049885
T099740,T099740
T014978,T014978
T021251,T021251
T074402,T074402
T166489,T166489
T032891,T032891
T163785,T163785
T173525,T173525
T076259,T076259
T026849,T026849
T133560,T133560
T019584,T019584
T149045,T149045
T146417,T146417
T052933,T052933
T099547,T099547
T026850,T026850
T098680,T098680
T123752,T123752
T016991,T016991
T076185,T076185
T076258,T076258
T076556,T076556
T096724,T096724
T087324,T087324
T032892,T032892
T076555,T076555
T074151,T074151
T178867,T178867
T097582,T097582
T146420,T146420
T048108,T048108
T134729,T134729
T076184,T076184
T133564,T133564
T052935,T052935
T074401,T074401
T053942,T053942
T123748,T123748
T001138,T001138
T123750,T123750
T074398,T074398
T133561,T133561
T133565,T133565
T149046,T149046
T031521,T031521
T031522,T031522
T056077,T056077
T146416,T146416
T099461,T099461
T131513,T131513
T050082,T050082
T097578,T097578
T074399,T074399
T076260,T076260
T166490,T166490
T140637,T140637
T084945,T084945
T027140,T027140
T149044,T149044
T107195,T107195
T173522,T173522
T076255,T076255
T097584,T097584
T123754,T123754
T149043,T149043
T166491,T166491
T169579,T169579
T067592,T067592
T146421,T146421
T016994,T016994
T133563,T133563
T123759,T123759
T073244,T073244
T169580,T169580
T099546,T099546
T123751,T123751
T123753,T123753
T021250,T021250
T133562,T133562
T026848,T026848
T067593,T067593
T097580,T097580
T107197,T107197
T191859,T191859
T178869,T178869
T146419,T146419
T194758,T194758
T076254,T076254
T099545,T099545
T134725,T134725
T077349,T077349
T107199,T107199
T019585,T019585
T097583,T097583
T123755,T123755
T166486,T166486
T099548,T099548
T027139,T027139
T107198,T107198
T048109,T048109
T004725,T004725